temp,humidity,mq7,mq135,dust,aqi
30.5425154492259,63.13246556222439,582.4021711722016,459.86226987838745,-9.624992860481143,300.59209587257357
30.10300837382674,62.6425131469965,609.4638461023569,537.5917224884033,5.177115346305072,341.4928936571069
29.93302877852693,62.04525669515133,610.3139449059963,547.0424461364746,-0.5074231285834685,343.72084337506675
29.930299796536563,62.03094129860401,610.0471963882446,549.2490520477295,-0.5224607937270775,344.5453518382763
29.930046529788523,62.0321945309639,610.0696151852608,549.3287734985352,-0.5170430667931214,344.58332416940715
29.930020639766006,62.03240794539452,610.0696987062693,549.336597442627,-0.527665936970152,344.5832810011902
29.93001781213097,62.03243335187435,610.069298684597,549.3371849060059,-0.5292413715505973,344.58296306906965
29.930017546983432,62.03243566155434,610.0692195594311,549.3372383117676,-0.5294087022775784,344.58291838060836
29.930017528822642,62.03243566155434,610.069210767746,549.3372383117676,-0.5294160690391436,344.5829144104268
29.930017523374406,62.03243566155434,610.069210767746,549.3372249603271,-0.5294160690391436,344.58290906930574
29.930017527006566,62.03243566155434,610.069210767746,549.3372249603271,-0.5294160690391436,344.582909069669
29.930017528822642,62.03243566155434,610.069210767746,549.3372249603271,-0.5294160690391436,344.5829090698506
29.930017528822642,62.03243566155434,610.069210767746,549.3372249603271,-0.5294160690391436,344.5829090698506
29.930017528822642,62.03243566155434,610.069210767746,549.3372249603271,-0.5294160690391436,344.5829090698506
29.930017528822642,62.03243566155434,610.069210767746,549.3372249603271,-0.5294160690391436,344.5829090698506
29.930017528822642,62.03243566155434,610.069210767746,549.3372249603271,-0.5294160690391436,344.5829090698506
29.930017528822642,62.03243566155434,610.069210767746,549.3372249603271,-0.5294160690391436,344.5829090698506
29.930017528822642,62.03243566155434,610.069210767746,549.3372249603271,-0.5294160690391436,344.5829090698506
29.930017528822642,62.03243566155434,610.069210767746,549.3372249603271,-0.5294160690391436,344.5829090698506
29.930017528822642,62.03243566155434,610.069210767746,549.3372249603271,-0.5294160690391436,344.5829090698506
29.930017528822642,62.03243566155434,610.069210767746,549.3372249603271,-0.5294160690391436,344.5829090698506
29.930017528822642,62.03243566155434,610.069210767746,549.3372249603271,-0.5294160690391436,344.5829090698506
29.930017528822642,62.03243566155434,610.069210767746,549.3372249603271,-0.5294160690391436,344.5829090698506
29.930017528822642,62.03243566155434,610.069210767746,549.3372249603271,-0.5294160690391436,344.5829090698506
